timestamp,locality,total,total_available,icu,icu_available
2020-03-26T04:00:00Z,state,42566,11023,4330,1027
2020-03-26T04:00:00Z,nyc,20394,3557,2011,307
2020-03-30T04:00:00Z,state,44459,11453,5470,1309
2020-03-30T04:00:00Z,nyc,20898,3240,2449,392
2020-04-01T04:00:00Z,state,44921,11438,5740,1380
2020-04-01T04:00:00Z,nyc,21167,3112,2565,352
2020-04-02T04:00:00Z,state,47324,12188,6537,1320
2020-04-02T04:00:00Z,nyc,22910,3975,3082,370
2020-04-03T04:00:00Z,state,48200,13505,6862,1331
2020-04-03T04:00:00Z,nyc,23957,5354,3256,419
2020-04-04T04:00:00Z,state,47290,11956,7129,1488
2020-04-04T04:00:00Z,nyc,22956,3687,3439,517
2020-04-05T04:00:00Z,state,47310,11752,7416,1318
2020-04-05T04:00:00Z,nyc,23017,3636,3478,420
2020-04-06T04:00:00Z,state,48113,11728,7269,1483
2020-04-06T04:00:00Z,nyc,23383,3799,3542,484
2020-04-07T04:00:00Z,state,48412,11506,7462,1517
2020-04-07T04:00:00Z,nyc,23462,3455,3676,453
2020-04-08T04:00:00Z,state,48460,11613,7689,1509
2020-04-08T04:00:00Z,nyc,23421,3522,3811,518
2020-04-09T04:00:00Z,state,48692,11965,7717,1388
2020-04-09T04:00:00Z,nyc,23496,3677,3802,397
2020-04-10T04:00:00Z,state,48545,11595,7827,1360
2020-04-10T04:00:00Z,nyc,23417,3394,3882,406
2020-04-11T04:00:00Z,state,48562,12169,7850,1396
2020-04-11T04:00:00Z,nyc,23499,3591,3914,391
2020-04-12T04:00:00Z,state,48639,11548,7904,1332
2020-04-12T04:00:00Z,nyc,23516,3483,3965,379
2020-04-13T04:00:00Z,state,48672,11396,7909,1389
2020-04-13T04:00:00Z,nyc,23513,3556,3976,420
2020-04-14T04:00:00Z,state,48781,11207,7953,1377
2020-04-14T04:00:00Z,nyc,23546,3537,4011,431
2020-04-15T04:00:00Z,state,49278,13018,8170,1750
2020-04-15T04:00:00Z,nyc,23872,4366,4043,499
2020-04-16T04:00:00Z,state,48889,11926,8111,1647
2020-04-16T04:00:00Z,nyc,23528,3875,4010,432
2020-04-17T04:00:00Z,state,48861,11842,8118,1661
2020-04-17T04:00:00Z,nyc,23424,3906,4009,473
2020-04-18T04:00:00Z,state,49939,13828,8295,1850
2020-04-18T04:00:00Z,nyc,23856,4651,4052,535
2020-04-19T04:00:00Z,state,48865,13385,8147,1902
2020-04-19T04:00:00Z,nyc,23599,4554,4012,585
2020-04-20T04:00:00Z,state,49210,13011,8234,1883
2020-04-20T04:00:00Z,nyc,23916,4753,4051,578
2020-04-21T04:00:00Z,state,49470,13243,8217,1826
2020-04-21T04:00:00Z,nyc,24037,4846,4035,590
2020-04-22T04:00:00Z,state,49349,13438,8172,1909
2020-04-22T04:00:00Z,nyc,24114,5167,4060,625
2020-04-23T04:00:00Z,state,49271,13956,8287,1954
2020-04-23T04:00:00Z,nyc,23795,5398,4104,638
2020-04-24T04:00:00Z,state,48847,14323,8326,2088
2020-04-24T04:00:00Z,nyc,23564,5621,4152,766
2020-04-25T04:00:00Z,state,48622,14861,8220,2180
2020-04-25T04:00:00Z,nyc,23380,5732,4101,761
2020-04-26T04:00:00Z,state,48924,15136,8196,2163
2020-04-26T04:00:00Z,nyc,23667,6123,4069,757
2020-04-27T04:00:00Z,state,48244,13850,8097,2154
2020-04-27T04:00:00Z,nyc,22909,5088,3983,745
2020-04-28T04:00:00Z,state,48048,14037,8121,2172
2020-04-28T04:00:00Z,nyc,22834,5176,4021,723
2020-04-29T04:00:00Z,state,48439,14826,8222,2296
2020-04-29T04:00:00Z,nyc,22687,5180,4005,758
2020-04-30T04:00:00Z,state,49015,15970,8256,2537
2020-04-30T04:00:00Z,nyc,22665,5453,3844,828
2020-05-01T04:00:00Z,state,48931,16871,8230,2624
2020-05-01T04:00:00Z,nyc,22336,5836,3844,828
2020-05-02T04:00:00Z,state,48471,16563,8102,2453
2020-05-02T04:00:00Z,nyc,21995,5838,3738,697
2020-05-03T04:00:00Z,state,47976,16205,7920,2461
2020-05-03T04:00:00Z,nyc,21912,5630,3673,762
2020-05-04T04:00:00Z,state,47976,16205,7920,2461
2020-05-04T04:00:00Z,nyc,21912,5630,3673,762
2020-05-05T04:00:00Z,state,47639,15060,7737,2258
2020-05-05T04:00:00Z,nyc,21838,5445,3618,617
2020-05-06T04:00:00Z,state,47201,15220,7671,2468
2020-05-06T04:00:00Z,nyc,21515,5612,3575,796
2020-05-07T04:00:00Z,state,47015,5479,7710,2525
2020-05-07T04:00:00Z,nyc,21451,5683,3594,792
2020-05-08T04:00:00Z,state,46868,15785,7691,2671
2020-05-08T04:00:00Z,nyc,21302,5883,3576,909
2020-05-09T04:00:00Z,state,46795,16386,7678,2721
2020-05-09T04:00:00Z,nyc,21306,6109,3564,863
2020-05-10T04:00:00Z,state,46638,16462,7668,2738
2020-05-10T04:00:00Z,nyc,21070,6150,3555,843
2020-05-11T04:00:00Z,state,46629,15864,7650,2739
2020-05-11T04:00:00Z,nyc,21099,5916,3532,848
2020-05-12T04:00:00Z,state,46422,15485,7628,2757
2020-05-12T04:00:00Z,nyc,20917,5828,3548,848
2020-05-13T04:00:00Z,state,46439,15300,7540,2687
2020-05-13T04:00:00Z,nyc,20936,5617,3473,775
2020-05-14T04:00:00Z,state,46366,15430,7498,2675
2020-05-14T04:00:00Z,nyc,20915,5770,3440,754
2020-05-15T04:00:00Z,state,46270,15684,7467,2711
2020-05-15T04:00:00Z,nyc,20816,5895,3424,778
2020-05-16T04:00:00Z,state,46191,16003,7410,2744
2020-05-16T04:00:00Z,nyc,20791,6025,3410,835
2020-05-17T04:00:00Z,state,46215,15943,7362,2793
2020-05-17T04:00:00Z,nyc,20795,6001,3376,835
2020-05-18T04:00:00Z,state,46139,15091,7313,2769
2020-05-18T04:00:00Z,nyc,20734,5610,3327,852
2020-05-19T04:00:00Z,state,46094,14719,7314,2686
2020-05-19T04:00:00Z,nyc,20725,5589,3355,866
2020-05-20T04:00:00Z,state,46094,14585,7282,2690
2020-05-20T04:00:00Z,nyc,20621,5588,3359,870
2020-05-21T04:00:00Z,state,46105,15027,7128,2818
2020-05-21T04:00:00Z,nyc,20635,5667,3180,882
2020-05-22T04:00:00Z,state,46154,15333,7199,2819
2020-05-22T04:00:00Z,nyc,20579,5666,3185,834
2020-05-23T04:00:00Z,state,46077,16333,7201,2898
2020-05-23T04:00:00Z,nyc,20524,6004,3183,894
2020-05-24T04:00:00Z,state,46054,16495,7120,2932
2020-05-24T04:00:00Z,nyc,20434,5891,3146,910
2020-05-25T04:00:00Z,state,46101,15967,7154,2954
2020-05-25T04:00:00Z,nyc,20468,5765,3140,956
2020-05-26T04:00:00Z,state,46193,15515,7108,2977
2020-05-26T04:00:00Z,nyc,20449,5749,3101,1000
2020-05-27T04:00:00Z,state,46250,14452,7100,2850
2020-05-27T04:00:00Z,nyc,20491,5383,3077,903
2020-05-28T04:00:00Z,state,46497,14916,7113,2884
2020-05-28T04:00:00Z,nyc,20735,5871,3110,987
2020-05-29T04:00:00Z,state,46409,15072,7116,2866
2020-05-29T04:00:00Z,nyc,20617,5820,3084,953
2020-05-30T04:00:00Z,state,46315,15739,7096,2988
2020-05-30T04:00:00Z,nyc,20561,6068,3060,974
2020-05-31T04:00:00Z,state,46283,15929,7086,2962
2020-05-31T04:00:00Z,nyc,20545,6044,3058,961
2020-06-01T04:00:00Z,state,46255,15672,7047,2998
2020-06-01T04:00:00Z,nyc,20513,6065,3031,965
2020-06-02T04:00:00Z,state,46235,14922,7035,2900
2020-06-02T04:00:00Z,nyc,20608,5824,3046,941
2020-06-03T04:00:00Z,state,46188,14726,6988,2924
2020-06-03T04:00:00Z,nyc,20534,5678,3012,976
2020-06-04T04:00:00Z,state,46335,14997,6987,2893
2020-06-04T04:00:00Z,nyc,20673,5804,3011,966
2020-06-05T04:00:00Z,state,46349,15282,7000,2918
2020-06-05T04:00:00Z,nyc,20699,5853,3025,960
2020-06-06T04:00:00Z,state,46266,16371,6927,2972
2020-06-06T04:00:00Z,nyc,20650,6354,2952,965
